tournament_id,map_name,started,event_type,x_cpn,y_cpn,z_cpn
kr-pkl18,Miramar,2019-02-10T07:11:22.6703838Z,LogParachuteLanding,640006.1875,581223.1875,310.5869445800781
kr-pkl18,Miramar,2019-02-10T07:11:22.6703838Z,LogParachuteLanding,685785.3125,587586.8125,-1388.9630126953125
kr-pkl18,Miramar,2019-02-10T07:11:22.6703838Z,LogParachuteLanding,690157.0,587519.25,-1341.05322265625
kr-pkl18,Miramar,2019-02-10T07:11:22.6703838Z,LogParachuteLanding,684145.4375,590910.75,-1293.3768310546875
kr-pkl18,Miramar,2019-02-10T07:11:22.6703838Z,LogParachuteLanding,690574.25,592851.4375,-1408.9005126953125
kr-pkl18,Miramar,2019-02-10T07:11:22.6703838Z,LogParachuteLanding,688358.25,592154.6875,-1444.4000244140625
kr-pkl18,Miramar,2019-02-10T07:11:22.6703838Z,LogParachuteLanding,690422.5625,592220.625,-1436.6036376953125
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,389323.4375,119648.5234375,88.95820617675781
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,389469.90625,114480.28125,68.4928970336914
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,369742.03125,122685.765625,141.4229278564453
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,391073.375,109951.0859375,99.89496612548828
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,298176.0,251461.1875,3197.805419921875
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,399136.3125,123746.1875,724.75439453125
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,429169.21875,326341.6875,652.7719116210938
kr-pkl18,Erangel,2019-02-11T06:25:33.4117938Z,LogParachuteLanding,371338.96875,709736.875,2809.277587890625
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,663499.25,118351.4921875,1250.3768310546875
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,674012.25,99127.6953125,2504.62060546875
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,666838.25,117964.9140625,1188.005126953125
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,641681.0625,347072.46875,1254.973876953125
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,538917.375,238549.984375,171.00315856933594
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,685335.75,319012.0625,1559.2698974609375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,669893.375,177060.171875,531.1314086914062
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,573270.8125,173503.25,13313.248046875
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,659619.5625,169521.796875,113.9998550415039
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,499170.03125,276335.59375,1647.3948974609375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,688772.5625,330195.9375,1356.0491943359375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,536620.625,237166.765625,223.14724731445312
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,486470.0,298170.1875,2490.4892578125
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,491117.34375,290598.40625,666.8910522460938
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,561693.25,245479.296875,670.7196655273438
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,632156.75,67093.0625,1879.0194091796875
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,664086.5625,115311.8828125,1156.145751953125
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,465066.09375,315922.71875,853.0206909179688
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,481212.625,265696.59375,2475.99609375
kr-pkl18,Erangel,2019-01-05T10:18:04.9920258Z,LogParachuteLanding,448245.90625,312095.90625,621.4713134765625
