,player,time_survived(s),dbnos,total_distance,headshot_kills,rank,win,time_survived(30m),num_of_attack,num_of_attack/30m,defender_num_of_attack,attacker_num_of_attack,attacker_num_of_attack/30m,displacement,shooting_distance,습득량,소비량,소비량/습득량,kill_groggy,make_groggy,확정킬_비율,acc,attacker_acc,defender_acc,kill,kill(30m),win_rate,type1_damage,type2_damage,damage,damage/30m,attacker_kill,attacker_kill(30m),attacker_win_rate,attacker_damage,attacker_damage/30m,defender_kill,defender_kill(30m),defender_win_rate,defender_damage,defender_damage/30m,n_of_type1,n_of_type2,survival_rate,type1_num_of_attack,type2_num_of_attack,attacker_survival_rate,type1_num_of_defense,type2_num_of_defense,defender_survival_rate,match_count
965,VLG_DAEVA,1122.6884492753622,0.9565217391304348,4297.05058899348,0.21014492753623187,9.246376811594203,0.07246376811594203,0.6237158051529793,59.63703703703704,81.27322693581799,10.418010752688176,2.210144927536232,3.0488503466548735,8596.109558849916,9207.52212829397,9.75,3.757575757575758,0.3528866072680854,0.6739130434782609,0.9492753623188406,0.343719806763285,0.24373026681003254,0.44206349185985844,0.09460360533854653,1.065217391304348,1.3440959078456667,0.3295807453416149,97.48655070616505,80.28174272481947,177.76829343098453,255.0682123092321,0.8768115942028986,1.0876030182615415,0.4061594202898551,143.01568823264785,196.94749904978937,0.18840579710144928,0.25649288958412525,0.11956521739130435,34.75260519833667,58.12071325944276,1.9275362318840579,2.1231884057971016,0.6331338749817009,1.0507246376811594,1.1594202898550725,0.6345928226363009,0.8768115942028986,0.9637681159420289,0.4780193236714976,138
14,4AM_Forever,1123.251855072464,1.2246376811594204,4474.57498068116,0.2536231884057971,8.340579710144928,0.07971014492753623,0.6240288083735911,62.74814814814815,86.10659866784918,9.568109668109667,2.289855072463768,3.3289674961822566,5724.679607698391,11110.994518981634,11.556390977443609,4.097744360902255,0.3311473877437203,0.7463768115942029,1.2028985507246377,0.34070048309178746,0.23532395687408447,0.46001677073059394,0.08771510196714763,1.2028985507246377,1.7622402054473374,0.37958074534161484,99.47983877510129,105.59717432862735,205.07701310372863,291.30408177412676,0.9565217391304348,1.451763949219547,0.44565217391304346,157.76253713795725,218.13283604869756,0.2463768115942029,0.3104762562277897,0.1358695652173913,47.31447596577138,73.17124572542909,2.0942028985507246,2.4420289855072466,0.6679630152456238,1.0217391304347827,1.2681159420289856,0.7475155279503105,1.0724637681159421,1.173913043478261,0.4816425120772946,138
1075,iFTY_Jiaoyang,1239.6657536231887,0.8115942028985508,5677.809773953622,0.10869565217391304,7.644927536231884,0.09420289855072464,0.688703196457327,50.42335766423358,68.01398644917248,9.236243386243387,2.0434782608695654,2.8889516456628983,6121.732667893037,11344.062620116232,8.698529411764707,3.25,0.3544338600211277,0.5652173913043478,0.8043478260869565,0.33357487922705314,0.24829515450442843,0.4434600543624968,0.07740332868724703,0.8985507246376812,1.1149886022277486,0.32318840579710145,72.1366758247848,79.01383612671306,151.15051195149786,207.18432985135368,0.7681159420289855,0.956884961797625,0.42669082125603863,123.488192901323,168.7784861463992,0.13043478260869565,0.15810364043012345,0.08695652173913043,27.66231905017488,38.40584370495447,1.826086956521739,1.9492753623188406,0.6202608381956208,0.9710144927536232,1.0724637681159421,0.7138285024154589,0.855072463768116,0.8768115942028986,0.4379227053140095,138
294,ENT_Seongjang,1284.1976521739139,0.8768115942028986,5370.633468138407,0.16666666666666666,7.36231884057971,0.12318840579710146,0.7134431400966182,41.38405797101449,52.98322864941381,5.116153846153846,2.108695652173913,2.6820091364129137,5639.692485144622,10089.027047444237,9.044117647058824,4.617647058823529,0.5041480439336391,0.5942028985507246,0.8768115942028986,0.34541062801932365,0.24675411668481356,0.5092190762671082,0.08247252698976033,0.9492753623188406,1.1733051348046957,0.3396135265700483,73.63562622371686,80.52229179704452,154.15791802076134,197.92302723615205,0.8188405797101449,1.005535760766838,0.4384057971014493,130.19221708485912,166.5654725587751,0.13043478260869565,0.16776937403785788,0.08333333333333333,23.965700935902237,31.357554677376974,1.8333333333333333,2.1594202898550723,0.6474580170232341,0.9565217391304348,1.1521739130434783,0.6866287094547964,0.8768115942028986,1.0072463768115942,0.4742753623188404,138
295,ENT_Under,1328.54984057971,1.2318840579710144,5482.094201490577,0.2536231884057971,7.36231884057971,0.12318840579710146,0.7380832447665058,77.1086956521739,92.21106793928816,8.41328125,2.8840579710144927,3.6114122818747645,9428.960717181242,12480.062348928332,8.955555555555556,5.777777777777778,0.5939693530869999,0.7898550724637681,1.2318840579710144,0.4001207729468599,0.2650027024212066,0.4311023829905554,0.10534714445665048,1.3478260869565217,1.6303175553793463,0.42862318840579694,111.31638605227361,132.8735221641651,244.18990821643874,301.26593175236127,1.1376811594202898,1.383082733074505,0.5410628019323671,206.54410360605718,255.14672129758748,0.21014492753623187,0.2472348223048419,0.13043478260869565,37.64580461038154,46.11921045477361,2.2246376811594204,2.63768115942029,0.7055346424911643,1.289855072463768,1.5942028985507246,0.7801759834368531,0.9347826086956522,1.0434782608695652,0.47620772946859885,138
296,ENT_indigo,1301.2058260869567,1.3115942028985508,5437.475567217393,0.3188405797101449,7.36231884057971,0.12318840579710146,0.7228921256038648,61.72992700729927,77.13897623775566,8.049363867684477,2.789855072463768,3.6242655158522212,5124.269723725062,11581.983996305407,7.4963503649635035,3.846715328467153,0.49637161297745236,0.9565217391304348,1.3115942028985508,0.49089026915113865,0.2641569087122122,0.455888202194344,0.0915460752163602,1.4927536231884058,1.80636341832203,0.4562629399585919,103.99673345286385,110.67259100730234,214.6693244601662,282.58862628184005,1.2826086956521738,1.5512982955982486,0.5815217391304348,183.7802514990317,243.8292789446842,0.21014492753623187,0.2550651227237814,0.1292270531400966,30.88907296113452,38.75934733715579,2.369565217391304,2.2971014492753623,0.7070275738753999,1.4275362318840579,1.3623188405797102,0.769496204278813,0.9420289855072463,0.9347826086956522,0.517270531400966,138
297,ENT_kAyle,1309.2932898550735,1.0,5494.51816851667,0.17391304347826086,7.36231884057971,0.12318840579710146,0.7273851610305963,65.36496350364963,80.13715622261223,8.668619791666666,2.463768115942029,3.0724814976638797,6446.759496595744,11703.551820846666,7.75,4.389705882352941,0.5423746328061345,0.6666666666666666,1.0,0.3847826086956522,0.25409006970699666,0.4569504693543341,0.08974810237500278,1.036231884057971,1.2894283877027255,0.37699275362318835,87.27671937666078,103.60948185298754,190.88620122964832,247.73515962914277,0.8840579710144928,1.0813549470293053,0.42681159420289855,159.53453681779945,197.14919644474986,0.15217391304347827,0.20807344067341976,0.09661835748792269,31.35166441184887,50.58596318439285,1.9057971014492754,2.5,0.6912156482808657,1.108695652173913,1.355072463768116,0.699459397285484,0.7971014492753623,1.144927536231884,0.546135265700483,138
1077,iFTY_LongSkr,1292.138753623188,1.3840579710144927,5882.462315579708,0.30434782608695654,7.644927536231884,0.09420289855072464,0.7178548631239936,82.55072463768116,107.63501180421596,11.573565804274466,3.1884057971014492,4.224098869902598,9130.536994803637,12872.988715083027,10.253623188405797,4.021739130434782,0.340423899762725,0.9492753623188406,1.3768115942028984,0.4681159420289854,0.2978086026570761,0.456355118988029,0.1118241653267236,1.4565217391304348,1.83032773093366,0.4572981366459626,140.44420220098667,132.1804162294889,272.62461843047555,357.6126716148873,1.2971014492753623,1.621429526475036,0.5617149758454106,233.66342771266787,305.94163784859876,0.15942028985507245,0.20889820445862456,0.09299516908212561,38.96119071780772,51.67103376628849,2.3333333333333335,2.847826086956522,0.7546142062446414,1.4927536231884058,1.6956521739130435,0.850224292615597,0.8405797101449275,1.1521739130434783,0.5356797791580401,138
18,4AM_xxxLu,1199.3165652173916,1.1376811594202898,4544.594837436232,0.2971014492753623,8.340579710144928,0.07971014492753623,0.6662869806763287,62.48905109489051,83.08570974896655,12.908333333333335,2.398550724637681,3.3043585333320875,7376.027253596794,12309.960674736816,10.592592592592593,4.5777777777777775,0.4108514505280931,0.8188405797101449,1.0942028985507246,0.41894409937888194,0.23783527538887866,0.45354496429648183,0.06593638870181488,1.289855072463768,1.7282262988915222,0.3797331492983665,104.01604416995195,81.43895762110262,185.45500179105457,263.76434577099315,1.144927536231884,1.5189009749826219,0.49070048309178743,155.83820851409183,217.24395260430612,0.14492753623188406,0.20932532390889946,0.09541062801932366,29.616793276962742,46.52039316668703,2.181159420289855,2.246376811594203,0.6980216241085804,1.318840579710145,1.0797101449275361,0.6990338164251207,0.8623188405797102,1.1666666666666667,0.5221014492753622,138
1073,iFTY_9,1267.0647463768112,1.0942028985507246,5860.939913818841,0.26811594202898553,7.644927536231884,0.09420289855072464,0.7039248590982283,67.73913043478261,88.23567958086356,9.42992424242424,2.4927536231884058,3.3617668358421233,10590.078186794473,11869.489990529184,8.528985507246377,2.6594202898550723,0.3201821188612815,0.7753623188405797,1.0942028985507246,0.3960489993098688,0.23190927587425053,0.42324779930819,0.06929186839977555,1.173913043478261,1.5340448853983086,0.40431907062341826,99.3353504678022,98.25821705665732,197.5935675244595,259.00520482793485,1.0507246376811594,1.373677478978252,0.5166062801932368,162.0434110900825,212.8812621433099,0.12318840579710146,0.1603674064200561,0.08454106280193237,35.55015643437704,46.12394268462499,2.1159420289855073,2.4347826086956523,0.6867118388857519,1.2028985507246377,1.289855072463768,0.7263198757763975,0.9130434782608695,1.144927536231884,0.5061594202898549,138
