player_id,team_name,player_name,match_count,attacker_health_diff,defender_health_diff,attacker_accuracy,defender_accuracy,battle_duration,battle_moved_distance,damage
ENCE_D1gg3r1,ENCE,D1gg3r1,114,6.090257156,-38.22891185,0.633300561,0.488192433,65.30293,1575.702543,71.310165
TSM_vard,TSM,vard,114,-5.151945501,-44.04342684,0.601942402,0.380298398,44.53716,1764.973532,73.999275
TL_mxey,TL,mxey,114,-2.469981171,-40.66701073,0.616053484,0.446924296,60.80772,1955.123639,71.06422
RL_ivas,RL,ivas,114,-14.39529619,-35.17035852,0.617658752,0.354063281,68.203835,2074.434986,66.36163
TSM_MiracU,TSM,MiracU,114,-13.31228249,-38.38566504,0.579593055,0.382040556,36.38259,2068.055499,64.56863
NAVI_TheTab,NAVI,TheTab,114,-4.954484734,-39.72906991,0.567983353,0.38263514,56.210938,2077.540838,67.35683
FaZe_Aitzy,FaZe,Aitzy,114,-1.509353178,-32.9784709,0.611487276,0.412459459,52.800926,2346.731076,66.47161
FaZe_Fuzzface,FaZe,Fuzzface,114,-7.001792967,-27.82139619,0.576285413,0.375248654,45.01817,1483.460722,70.0611
NH_xkkk,NH,xkkk,113,-17.85635427,-54.32956462,0.603249902,0.44765728,53.45214,2032.920675,71.339035
NH_Giaoiqq,NH,Giaoiqq,113,-14.49817169,-42.92967279,0.573254498,0.325483343,50.454887,3011.701468,69.0253
ENCE_Tiikzu,ENCE,Tiikzu,113,-7.686917711,-45.32848228,0.588997994,0.355504126,31.264053,1881.745618,72.007866
OMK_Jembty,OMK,Jembty,113,-10.24096877,-46.45053689,0.591509895,0.335204102,55.870384,2334.158763,70.62638
TE_alyagg,TE,alyagg,113,-6.528448182,-33.82240569,0.611166447,0.454308379,76.57928,2858.207596,75.516174
TSM_Iroh,TSM,Iroh,113,-11.26311654,-49.7910881,0.583369681,0.379898273,67.68541,2339.868206,75.9858
TSM_Fexx,TSM,Fexx,113,-5.757625179,-47.69183565,0.572685153,0.47865304,56.7004,2023.682528,77.65392
ENCE_Rustanmar,ENCE,Rustanmar,113,-10.56006251,-31.28946243,0.586966636,0.416485316,51.209465,2684.316555,63.34654
TL_jeemzz,TL,jeemzz,113,-4.525797494,-44.24783487,0.589605563,0.398203143,54.38504,1652.464954,74.18585
ENCE_SKUIJKE,ENCE,SKUIJKE,113,-17.35893264,-54.67379331,0.603687475,0.393287372,60.26523,1973.160982,69.66096
RL_MARV,RL,MARV,113,-14.34195563,-35.58524896,0.585523873,0.345030041,74.400856,1746.660136,72.362076
OMK_TeaBone,OMK,TeaBone,112,-15.38758132,-35.44002786,0.626065883,0.364096671,51.93094,1439.220097,71.77099
FaZe_Gustav,FaZe,Gustav,112,-12.00001526,-43.30955183,0.573378832,0.43135469,63.095127,2587.135694,69.05628
LVG_Sparrow,LVG,Sparrow,111,-16.70831016,-47.12682558,0.583813389,0.266328464,52.0983,2154.535978,71.35196
RL_Qbe,RL,Qbe,111,-11.1828458,-42.71675227,0.620952517,0.396985226,49.064255,2506.657604,75.12688
TL_ibiza,TL,ibiza,111,-1.210211754,-40.49172046,0.542259119,0.363828538,34.427612,2788.450228,64.47335
FaZe_ubah,FaZe,ubah,110,-3.27282898,-52.10468778,0.617696174,0.475669066,61.789356,1920.750281,75.3641
GRF_Asura,GRF,Asura,109,-9.969034495,-41.11626191,0.56701602,0.347288483,58.445023,1220.809091,75.306274
PeRo_Mamu,PeRo,Mamu,108,-14.3672243,-51.93295807,0.580354819,0.338450113,40.861946,2424.870253,69.76368
MCG_LingDuuuuuu,MCG,LingDuuuuuu,108,-18.33197168,-46.67901126,0.666212542,0.332971694,92.60926,1682.537446,77.13027
LVG_Kali,LVG,Kali,108,-15.69248454,-51.46613235,0.59263033,0.29641579,44.25898,1537.640251,74.81968
