,weapon,x,y
112,Item_Weapon_HK416_C,155804.71875,274914.0625
113,Item_Weapon_FNFal_C,639688.125,468784.65625
114,Item_Weapon_SCAR-L_C,392420.1875,645438.4375
115,Item_Weapon_HK416_C,365285.9375,405775.0
116,Item_Weapon_HK416_C,631224.4375,374148.78125
117,Item_Weapon_FNFal_C,730657.25,433873.75
118,Item_Weapon_Kar98k_C,600763.1875,604532.1875
119,Item_Weapon_HK416_C,111658.3046875,382406.40625
120,Item_Weapon_Mini14_C,697748.9375,345665.90625
121,Item_Weapon_Mini14_C,392009.28125,646791.4375
122,Item_Weapon_HK416_C,156060.921875,275155.0625
123,Item_Weapon_FNFal_C,655654.625,353930.875
124,Item_Weapon_HK416_C,666091.1875,309013.375
125,Item_Weapon_HK416_C,545835.1875,237337.75
126,Item_Weapon_FNFal_C,392041.15625,645912.4375
127,Item_Weapon_M24_C,109501.2265625,385014.3125
128,Item_Weapon_Mini14_C,108946.015625,385790.75
129,Item_Weapon_BerylM762_C,217295.75,361673.71875
130,Item_Weapon_Mini14_C,646531.5625,422823.59375
131,Item_Weapon_SKS_C,545909.0625,236810.03125
132,Item_Weapon_SKS_C,88676.796875,477954.9375
133,Item_Weapon_Kar98k_C,558891.125,489595.4375
134,Item_Weapon_FNFal_C,156097.890625,275927.40625
135,Item_Weapon_SKS_C,536822.0625,241882.1875
136,Item_Weapon_FNFal_C,645927.75,422024.375
137,Item_Weapon_AK47_C,323486.09375,635682.875
138,Item_Weapon_Mini14_C,346835.625,396714.0625
139,Item_Weapon_FNFal_C,133368.15625,301368.96875
140,Item_Weapon_HK416_C,550424.5625,251621.296875
141,Item_Weapon_BerylM762_C,532510.875,235720.75
142,Item_Weapon_HK416_C,515024.09375,498333.28125
143,Item_Weapon_BerylM762_C,495868.5625,574562.875
144,Item_Weapon_HK416_C,608671.625,603882.0
145,Item_Weapon_Mini14_C,533058.25,233916.234375
146,Item_Weapon_SKS_C,609234.6875,604139.9375
147,Item_Weapon_AK47_C,130644.1484375,299525.71875
148,Item_Weapon_FNFal_C,600866.4375,478789.34375
149,Item_Weapon_Mini14_C,612033.875,602758.4375
150,Item_Weapon_FNFal_C,532508.625,232646.8125
151,Item_Weapon_AK47_C,303630.59375,501134.84375
152,Item_Weapon_SCAR-L_C,717418.0625,335195.09375
153,Item_Weapon_Kar98k_C,215443.8125,397048.59375
154,Item_Weapon_Mini14_C,547889.625,254711.8125
155,Item_Weapon_HK416_C,533824.4375,491313.0625
156,Item_Weapon_HK416_C,598294.3125,478850.09375
157,Item_Weapon_HK416_C,223141.390625,395638.21875
158,Item_Weapon_HK416_C,371340.34375,405048.40625
159,Item_Weapon_FNFal_C,545770.5625,255355.46875
160,Item_Weapon_SCAR-L_C,550119.125,629241.875
161,Item_Weapon_Mini14_C,550119.3125,629244.875
162,Item_Weapon_SKS_C,532012.8125,591432.3125
163,Item_Weapon_SKS_C,512471.3125,499029.34375
164,Item_Weapon_HK416_C,370880.125,405827.15625
165,Item_Weapon_Mini14_C,541986.5625,237237.65625
166,Item_Weapon_HK416_C,615638.25,496723.3125
167,Item_Weapon_SKS_C,460609.65625,555476.4375
168,Item_Weapon_AK47_C,528516.375,596851.5625
169,Item_Weapon_Kar98k_C,460316.78125,555487.625
170,Item_Weapon_HK416_C,530602.75,243010.171875
171,Item_Weapon_SCAR-L_C,371971.15625,400844.90625
172,Item_Weapon_SKS_C,546443.5,600610.625
173,Item_Weapon_HK416_C,531605.75,229823.953125
174,Item_Weapon_Mini14_C,371285.40625,408675.90625
175,Item_Weapon_Kar98k_C,370564.28125,405595.875
176,Item_Weapon_SCAR-L_C,365900.5,415704.4375
177,Item_Weapon_FNFal_C,326927.9375,526546.0625
178,Item_Weapon_HK416_C,368011.1875,416331.875
179,Item_Weapon_M24_C,326877.5,526449.375
180,Item_Weapon_HK416_C,376209.1875,417899.1875
181,Item_Weapon_FNFal_C,377607.46875,420332.59375
182,Item_Weapon_FNFal_C,293214.40625,640513.8125
183,Item_Weapon_SKS_C,373116.0625,415694.03125
184,Item_Weapon_Kar98k_C,363166.5,413772.03125
185,Item_Weapon_FNFal_C,378010.75,420272.0
186,Item_Weapon_Mini14_C,363318.46875,451880.34375
187,Item_Weapon_HK416_C,363267.0625,451775.5
188,Item_Weapon_HK416_C,631124.0625,613054.5625
189,Item_Weapon_Mini14_C,580704.4375,693606.625
190,Item_Weapon_Kar98k_C,524436.0625,651582.375
191,Item_Weapon_FNFal_C,541265.3125,675403.375
192,Item_Weapon_FNFal_C,522476.1875,648240.25
193,Item_Weapon_AK47_C,388380.59375,172233.15625
194,Item_Weapon_AK47_C,360760.5625,216727.453125
195,Item_Weapon_FNFal_C,493887.75,279627.46875
196,Item_Weapon_BerylM762_C,446733.3125,295757.78125
197,Item_Weapon_Kar98k_C,379478.90625,121668.1875
198,Item_Weapon_HK416_C,424926.59375,326830.71875
199,Item_Weapon_AK47_C,493964.03125,281049.5625
200,Item_Weapon_AK47_C,389069.5,171415.5
201,Item_Weapon_FNFal_C,365590.9375,409144.46875
202,Item_Weapon_M24_C,545104.25,226697.4375
203,Item_Weapon_FNFal_C,388521.59375,172033.25
204,Item_Weapon_HK416_C,388521.59375,172033.25
