,weapon,x,y
113,Item_Weapon_HK416_C,387114.34375,172085.171875
114,Item_Weapon_SKS_C,559920.8125,385407.875
115,Item_Weapon_Mini14_C,200025.78125,280978.03125
116,Item_Weapon_Mini14_C,361898.59375,303229.3125
117,Item_Weapon_Mini14_C,160762.46875,296672.84375
118,Item_Weapon_AK47_C,515694.0,653954.1875
119,Item_Weapon_BerylM762_C,505425.5,267157.84375
120,Item_Weapon_SKS_C,190775.21875,412085.15625
121,Item_Weapon_AK47_C,466895.1875,449108.90625
122,Item_Weapon_SKS_C,266797.8125,401592.1875
123,Item_Weapon_Mini14_C,133302.609375,144689.0625
124,Item_Weapon_AK47_C,177036.890625,423761.34375
125,Item_Weapon_HK416_C,421054.90625,567425.4375
126,Item_Weapon_Mini14_C,331899.1875,525791.25
127,Item_Weapon_BerylM762_C,625602.8125,601565.1875
128,Item_Weapon_SCAR-L_C,189458.796875,413100.125
129,Item_Weapon_SKS_C,559677.5625,295410.90625
130,Item_Weapon_Kar98k_C,369725.3125,421642.46875
131,Item_Weapon_BerylM762_C,177293.0625,422217.1875
132,Item_Weapon_HK416_C,602624.5625,419166.5
133,Item_Weapon_Mini14_C,131576.328125,224488.390625
134,Item_Weapon_Mini14_C,542931.5,439361.59375
135,Item_Weapon_Mini14_C,654307.375,249041.015625
136,Item_Weapon_SKS_C,640320.3125,466121.71875
137,Item_Weapon_Mini14_C,483440.78125,516155.28125
138,Item_Weapon_Mini14_C,494536.75,172427.8125
139,Item_Weapon_BerylM762_C,371437.125,423264.59375
140,Item_Weapon_HK416_C,557957.3125,293194.4375
141,Item_Weapon_BerylM762_C,300346.03125,509118.90625
142,Item_Weapon_FNFal_C,176399.71875,424686.59375
143,Item_Weapon_SKS_C,367286.03125,423693.90625
144,Item_Weapon_AK47_C,314796.75,552142.375
145,Item_Weapon_AK47_C,483439.90625,518039.5625
146,Item_Weapon_AK47_C,176445.53125,293736.75
147,Item_Weapon_AK47_C,261304.234375,530199.125
148,Item_Weapon_SKS_C,368740.34375,423881.0
149,Item_Weapon_FNFal_C,339705.78125,431622.625
150,Item_Weapon_HK416_C,483646.1875,518864.0625
151,Item_Weapon_BerylM762_C,177102.03125,293318.4375
152,Item_Weapon_SKS_C,57988.609375,134229.171875
153,Item_Weapon_BerylM762_C,331940.03125,210182.3125
154,Item_Weapon_FNFal_C,291115.28125,315229.6875
155,Item_Weapon_HK416_C,326381.84375,354967.28125
156,Item_Weapon_BerylM762_C,513195.46875,593474.5625
157,Item_Weapon_BerylM762_C,471300.21875,447804.875
158,Item_Weapon_SKS_C,624866.4375,465512.625
159,Item_Weapon_BerylM762_C,226393.890625,423982.0625
160,Item_Weapon_Mini14_C,442547.1875,236759.734375
161,Item_Weapon_Mini14_C,470979.0625,449114.59375
162,Item_Weapon_Mini14_C,258343.53125,528058.75
163,Item_Weapon_Mini14_C,194592.78125,415313.1875
164,Item_Weapon_FNFal_C,226074.453125,424412.9375
165,Item_Weapon_SKS_C,258557.875,526226.75
166,Item_Weapon_Mini14_C,601690.9375,424605.59375
167,Item_Weapon_FNFal_C,481741.90625,426726.90625
168,Item_Weapon_BerylM762_C,565481.0625,296841.4375
169,Item_Weapon_Kar98k_C,381482.90625,490945.5625
170,Item_Weapon_FNFal_C,383539.84375,140028.25
171,Item_Weapon_HK416_C,589064.0,326869.5625
172,Item_Weapon_BerylM762_C,156074.515625,280614.21875
173,Item_Weapon_BerylM762_C,257123.859375,526498.0
174,Item_Weapon_BerylM762_C,643145.5625,244941.6875
175,Item_Weapon_SKS_C,525870.0625,234270.75
176,Item_Weapon_FNFal_C,565440.375,292867.5625
177,Item_Weapon_FNFal_C,615814.4375,639034.375
178,Item_Weapon_BerylM762_C,438105.90625,278019.6875
179,Item_Weapon_Mini14_C,469715.9375,450499.65625
180,Item_Weapon_HK416_C,328927.875,523944.71875
181,Item_Weapon_SCAR-L_C,313083.0625,551037.75
182,Item_Weapon_BerylM762_C,51118.16796875,132565.6875
183,Item_Weapon_BerylM762_C,96212.890625,263502.5625
184,Item_Weapon_Mini14_C,531488.6875,400952.46875
185,Item_Weapon_SCAR-L_C,528475.875,229854.71875
186,Item_Weapon_HK416_C,529098.25,230574.59375
187,Item_Weapon_BerylM762_C,560905.6875,386284.0
