,weapon,x,y
112,Item_Weapon_Mini14_C,246935.796875,278964.6875
113,Item_Weapon_HK416_C,395195.03125,355280.3125
114,Item_Weapon_SKS_C,383178.40625,477009.3125
115,Item_Weapon_BerylM762_C,230342.3125,250566.796875
116,Item_Weapon_AK47_C,447212.59375,295558.9375
117,Item_Weapon_AK47_C,164069.328125,276892.84375
118,Item_Weapon_Mini14_C,510251.09375,382397.15625
119,Item_Weapon_BerylM762_C,215058.59375,559891.3125
120,Item_Weapon_FNFal_C,669182.375,99812.0859375
121,Item_Weapon_AK47_C,432574.375,446571.1875
122,Item_Weapon_HK416_C,621208.25,297962.5625
123,Item_Weapon_Mini14_C,456043.625,630472.0
124,Item_Weapon_Mini14_C,657439.75,354423.90625
125,Item_Weapon_FNFal_C,296361.5,505365.3125
126,Item_Weapon_BerylM762_C,388486.4375,616003.875
127,Item_Weapon_BerylM762_C,217316.59375,362007.1875
128,Item_Weapon_BerylM762_C,160679.5,294691.84375
129,Item_Weapon_HK416_C,247248.09375,278838.125
130,Item_Weapon_Mini14_C,231841.609375,248762.421875
131,Item_Weapon_SKS_C,218501.15625,396723.0
132,Item_Weapon_BerylM762_C,172195.34375,613394.0
133,Item_Weapon_SKS_C,555227.6875,135648.25
134,Item_Weapon_Mini14_C,669997.875,116711.1875
135,Item_Weapon_SKS_C,604617.5,479231.84375
136,Item_Weapon_BerylM762_C,302139.21875,565428.0
137,Item_Weapon_Mini14_C,432737.46875,637708.4375
138,Item_Weapon_Mini14_C,464206.59375,650331.5625
139,Item_Weapon_SKS_C,669870.875,178267.078125
140,Item_Weapon_Mini14_C,433192.03125,637638.5625
141,Item_Weapon_HK416_C,164798.640625,277166.9375
142,Item_Weapon_HK416_C,645833.25,422095.03125
143,Item_Weapon_HK416_C,285770.90625,399562.78125
144,Item_Weapon_Mini14_C,165093.140625,277312.71875
145,Item_Weapon_BerylM762_C,433099.5,637383.4375
146,Item_Weapon_BerylM762_C,424732.78125,295515.875
147,Item_Weapon_HK416_C,570523.5625,349807.78125
148,Item_Weapon_FNFal_C,316119.34375,356405.71875
149,Item_Weapon_BerylM762_C,557437.8125,133148.953125
150,Item_Weapon_Mini14_C,207448.109375,235882.890625
151,Item_Weapon_BerylM762_C,285048.875,399574.03125
152,Item_Weapon_HK416_C,600834.8125,476445.46875
153,Item_Weapon_HK416_C,218764.828125,396470.84375
154,Item_Weapon_FNFal_C,628847.0,378217.28125
155,Item_Weapon_SKS_C,301958.34375,563933.5625
156,Item_Weapon_BerylM762_C,211869.75,230843.0625
157,Item_Weapon_HK416_C,206999.640625,236835.8125
158,Item_Weapon_HK416_C,665854.3125,114231.9765625
159,Item_Weapon_FNFal_C,464276.375,650247.125
160,Item_Weapon_FNFal_C,669373.625,177982.015625
161,Item_Weapon_BerylM762_C,418821.5,326974.78125
162,Item_Weapon_SCAR-L_C,464200.1875,650449.4375
163,Item_Weapon_BerylM762_C,669843.0,178517.25
164,Item_Weapon_FNFal_C,296174.09375,446213.78125
165,Item_Weapon_SKS_C,389144.90625,617700.1875
166,Item_Weapon_AK47_C,533051.625,232823.0
167,Item_Weapon_SKS_C,430046.78125,635334.6875
168,Item_Weapon_FNFal_C,210928.890625,231064.59375
169,Item_Weapon_BerylM762_C,669569.5625,90147.265625
170,Item_Weapon_BerylM762_C,379406.15625,474449.21875
171,Item_Weapon_FNFal_C,510527.21875,498646.0
172,Item_Weapon_AK47_C,390846.71875,345558.78125
173,Item_Weapon_FNFal_C,150024.359375,610419.6875
174,Item_Weapon_SCAR-L_C,510150.0,498805.0625
175,Item_Weapon_BerylM762_C,294543.09375,446389.90625
176,Item_Weapon_SKS_C,492368.875,436333.0
177,Item_Weapon_BerylM762_C,545311.1875,254492.328125
178,Item_Weapon_HK416_C,510906.625,500020.1875
179,Item_Weapon_BerylM762_C,627332.0625,378169.46875
180,Item_Weapon_SCAR-L_C,468945.5625,369661.0625
181,Item_Weapon_BerylM762_C,598296.5625,472988.1875
182,Item_Weapon_SCAR-L_C,450177.875,629818.875
183,Item_Weapon_Mini14_C,367495.5,389949.59375
184,Item_Weapon_AK47_C,624045.0625,302812.21875
185,Item_Weapon_FNFal_C,469785.59375,369288.1875
186,Item_Weapon_SCAR-L_C,469777.84375,369280.71875
187,Item_Weapon_HK416_C,448425.78125,630107.1875
188,Item_Weapon_SKS_C,162368.46875,291302.8125
189,Item_Weapon_Mini14_C,448413.28125,630106.625
190,Item_Weapon_FNFal_C,469784.65625,369269.9375
191,Item_Weapon_HK416_C,448413.28125,630106.625
192,Item_Weapon_FNFal_C,178769.9375,522544.5
193,Item_Weapon_Mini14_C,492338.375,435834.9375
194,Item_Weapon_Mini14_C,381916.875,617304.875
195,Item_Weapon_FNFal_C,435878.46875,638987.25
196,Item_Weapon_BerylM762_C,623939.4375,304279.59375
197,Item_Weapon_BerylM762_C,346244.875,396134.1875
198,Item_Weapon_FNFal_C,445571.03125,627856.8125
199,Item_Weapon_SKS_C,362614.59375,396501.5
200,Item_Weapon_FNFal_C,267513.6875,390164.03125
201,Item_Weapon_FNFal_C,422503.75,288489.0
202,Item_Weapon_FNFal_C,571369.8125,251083.453125
203,Item_Weapon_FNFal_C,490265.59375,438692.78125
204,Item_Weapon_FNFal_C,550256.125,253233.28125
205,Item_Weapon_FNFal_C,288600.71875,265998.28125
206,Item_Weapon_BerylM762_C,669439.3125,99502.71875
207,Item_Weapon_BerylM762_C,546356.5625,235178.0625
208,Item_Weapon_BerylM762_C,160583.328125,294621.1875
209,Item_Weapon_FNFal_C,544243.6875,242321.421875
210,Item_Weapon_FNFal_C,467472.4375,369845.71875
211,Item_Weapon_BerylM762_C,467472.4375,369845.71875
212,Item_Weapon_FNFal_C,467483.375,369871.46875
213,Item_Weapon_BerylM762_C,381937.34375,617455.1875
214,Item_Weapon_FNFal_C,173709.0,303287.59375
215,Item_Weapon_BerylM762_C,353906.40625,317428.125
216,Item_Weapon_BerylM762_C,298735.21875,501395.1875
217,Item_Weapon_SCAR-L_C,362428.125,393624.1875
218,Item_Weapon_SCAR-L_C,298731.78125,501377.5
219,Item_Weapon_BerylM762_C,227802.734375,322381.71875
220,Item_Weapon_Mini14_C,157481.609375,413905.0625
221,Item_Weapon_BerylM762_C,414482.125,481662.09375
222,Item_Weapon_FNFal_C,414473.0,480574.46875
223,Item_Weapon_BerylM762_C,209107.0,411643.125
224,Item_Weapon_BerylM762_C,212642.578125,468971.03125
225,Item_Weapon_FNFal_C,149182.671875,433934.90625
226,Item_Weapon_FNFal_C,147715.046875,434591.71875
227,Item_Weapon_BerylM762_C,136531.171875,463653.625
228,Item_Weapon_BerylM762_C,143826.203125,480833.71875
229,Item_Weapon_BerylM762_C,144244.359375,480037.90625
230,Item_Weapon_BerylM762_C,165223.03125,433452.0
231,Item_Weapon_FNFal_C,162534.4375,439680.75
232,Item_Weapon_Mini14_C,116309.9140625,133478.8125
233,Item_Weapon_SKS_C,140564.984375,122701.2890625
234,Item_Weapon_BerylM762_C,115586.8359375,133389.109375
235,Item_Weapon_BerylM762_C,181980.671875,146700.25
236,Item_Weapon_Mini14_C,246964.4375,279581.375
237,Item_Weapon_AK47_C,155553.6875,275055.0
238,Item_Weapon_Mini14_C,469399.1875,312928.78125
239,Item_Weapon_SKS_C,357753.5,246162.25
240,Item_Weapon_FNFal_C,355850.6875,409014.90625
241,Item_Weapon_BerylM762_C,142921.28125,123035.859375
242,Item_Weapon_AK47_C,213715.5625,366703.3125
243,Item_Weapon_BerylM762_C,373379.625,411710.34375
244,Item_Weapon_HK416_C,163186.171875,277059.96875
245,Item_Weapon_HK416_C,156488.921875,274970.5625
246,Item_Weapon_SKS_C,328834.6875,394483.40625
247,Item_Weapon_SKS_C,109041.484375,384424.0625
248,Item_Weapon_BerylM762_C,634671.25,417167.78125
249,Item_Weapon_BerylM762_C,212907.03125,365509.84375
250,Item_Weapon_AK47_C,207638.09375,236991.09375
251,Item_Weapon_Mini14_C,328648.5625,393844.5625
252,Item_Weapon_FNFal_C,215801.8125,393264.78125
253,Item_Weapon_BerylM762_C,357233.34375,245910.3125
254,Item_Weapon_BerylM762_C,362227.71875,393249.75
255,Item_Weapon_AK47_C,444218.1875,290884.875
256,Item_Weapon_Mini14_C,362226.78125,393540.4375
257,Item_Weapon_FNFal_C,314793.0625,359094.0625
258,Item_Weapon_Mini14_C,635929.3125,417250.21875
259,Item_Weapon_AK47_C,468975.0,314522.6875
260,Item_Weapon_BerylM762_C,216454.234375,393842.5
261,Item_Weapon_AK47_C,163641.046875,276750.65625
262,Item_Weapon_SCAR-L_C,445223.59375,330020.21875
263,Item_Weapon_Kar98k_C,296371.09375,129940.9453125
264,Item_Weapon_Mini14_C,424108.71875,325025.84375
265,Item_Weapon_BerylM762_C,579836.0,486700.28125
266,Item_Weapon_AK47_C,111691.8203125,382399.0625
267,Item_Weapon_AK47_C,365915.40625,408441.125
268,Item_Weapon_FNFal_C,365932.78125,408490.03125
269,Item_Weapon_BerylM762_C,571691.1875,419437.0
270,Item_Weapon_HK416_C,640788.5625,471983.1875
271,Item_Weapon_FNFal_C,685437.4375,460567.71875
272,Item_Weapon_SCAR-L_C,201513.234375,239493.234375
273,Item_Weapon_BerylM762_C,360478.625,292146.15625
274,Item_Weapon_BerylM762_C,286293.96875,265294.625
275,Item_Weapon_AK47_C,247136.75,279871.0625
276,Item_Weapon_Mini14_C,189147.234375,213902.234375
277,Item_Weapon_SCAR-L_C,445542.875,290634.375
278,Item_Weapon_SCAR-L_C,566360.6875,349183.0625
279,Item_Weapon_BerylM762_C,622831.3125,371863.21875
280,Item_Weapon_BerylM762_C,534563.6875,235890.453125
281,Item_Weapon_SCAR-L_C,188605.140625,225209.234375
282,Item_Weapon_SCAR-L_C,566182.125,381798.34375
283,Item_Weapon_AK47_C,313014.09375,357717.625
284,Item_Weapon_Kar98k_C,399303.34375,353676.125
285,Item_Weapon_BerylM762_C,685137.25,462600.875
286,Item_Weapon_HK416_C,207455.4375,235833.59375
287,Item_Weapon_HK416_C,444661.1875,328500.28125
288,Item_Weapon_SCAR-L_C,698502.625,344826.78125
289,Item_Weapon_BerylM762_C,569160.6875,349692.9375
290,Item_Weapon_HK416_C,121532.234375,127134.71875
291,Item_Weapon_AK47_C,463514.125,422901.78125
292,Item_Weapon_Mini14_C,372079.125,412958.625
293,Item_Weapon_SKS_C,282214.28125,397007.75
294,Item_Weapon_SKS_C,698870.6875,345623.3125
295,Item_Weapon_HK416_C,160824.71875,294742.75
296,Item_Weapon_BerylM762_C,188718.96875,213139.53125
297,Item_Weapon_Mini14_C,121110.796875,127520.6953125
298,Item_Weapon_HK416_C,336747.1875,171629.53125
299,Item_Weapon_HK416_C,424232.65625,327438.5
300,Item_Weapon_Mini14_C,157186.421875,457933.34375
301,Item_Weapon_FNFal_C,468605.15625,315559.34375
302,Item_Weapon_HK416_C,158065.328125,275572.84375
303,Item_Weapon_SCAR-L_C,387834.5625,118025.3984375
304,Item_Weapon_SKS_C,543320.1875,250995.328125
305,Item_Weapon_FNFal_C,464202.5625,423478.625
306,Item_Weapon_BerylM762_C,624060.3125,302893.875
307,Item_Weapon_SKS_C,515614.625,503111.4375
308,Item_Weapon_AK47_C,295255.0,129855.8359375
309,Item_Weapon_FNFal_C,568544.3125,348821.71875
310,Item_Weapon_FNFal_C,713181.25,339117.21875
311,Item_Weapon_HK416_C,364746.3125,407074.59375
312,Item_Weapon_BerylM762_C,127192.9375,489530.15625
313,Item_Weapon_AK47_C,388337.21875,171780.71875
314,Item_Weapon_BerylM762_C,296156.15625,130654.140625
315,Item_Weapon_HK416_C,388226.21875,171571.234375
316,Item_Weapon_SKS_C,387373.5,118918.859375
317,Item_Weapon_SKS_C,288421.875,266044.59375
318,Item_Weapon_Mini14_C,725064.25,437107.5
319,Item_Weapon_Mini14_C,295382.78125,503022.1875
320,Item_Weapon_SKS_C,435485.90625,449266.65625
321,Item_Weapon_AK47_C,547184.125,235435.9375
322,Item_Weapon_FNFal_C,516545.90625,502498.34375
323,Item_Weapon_HK416_C,714637.0,338648.78125
324,Item_Weapon_M24_C,623092.5625,375424.1875
325,Item_Weapon_FNFal_C,326138.65625,398941.75
326,Item_Weapon_SKS_C,171415.671875,145749.265625
327,Item_Weapon_HK416_C,601184.625,479058.28125
328,Item_Weapon_BerylM762_C,398408.65625,353484.6875
329,Item_Weapon_AK47_C,158316.875,459076.9375
330,Item_Weapon_SKS_C,624637.0625,303793.78125
331,Item_Weapon_SKS_C,622215.8125,375406.125
332,Item_Weapon_BerylM762_C,466554.21875,317290.71875
333,Item_Weapon_FNFal_C,285981.0,399054.59375
334,Item_Weapon_Kar98k_C,160060.03125,294562.9375
335,Item_Weapon_Mini14_C,642313.1875,468761.84375
336,Item_Weapon_BerylM762_C,542787.8125,251688.75
337,Item_Weapon_SKS_C,165410.46875,278415.6875
338,Item_Weapon_FNFal_C,384071.125,477162.90625
339,Item_Weapon_SKS_C,337617.5,167749.390625
340,Item_Weapon_FNFal_C,159397.765625,276787.0625
341,Item_Weapon_AK47_C,289974.3125,345344.90625
342,Item_Weapon_Mini14_C,546000.625,237342.46875
343,Item_Weapon_HK416_C,215893.859375,469748.3125
344,Item_Weapon_BerylM762_C,160395.25,293494.1875
345,Item_Weapon_SCAR-L_C,542377.4375,462318.0
346,Item_Weapon_Mini14_C,603632.125,479166.1875
347,Item_Weapon_Mini14_C,573765.5625,423501.59375
348,Item_Weapon_Mini14_C,204232.5,240431.453125
349,Item_Weapon_HK416_C,189839.890625,225240.875
350,Item_Weapon_FNFal_C,543600.3125,253077.28125
351,Item_Weapon_FNFal_C,432572.59375,446565.625
352,Item_Weapon_SCAR-L_C,325015.0625,401732.71875
353,Item_Weapon_SCAR-L_C,295920.0625,446442.34375
354,Item_Weapon_BerylM762_C,511348.1875,503361.78125
355,Item_Weapon_FNFal_C,186961.609375,214001.8125
356,Item_Weapon_SCAR-L_C,160835.765625,457969.9375
357,Item_Weapon_FNFal_C,383763.1875,117547.8984375
358,Item_Weapon_FNFal_C,602885.25,477159.75
359,Item_Weapon_AK47_C,285464.75,402162.9375
360,Item_Weapon_AK47_C,126970.8671875,491604.34375
