map_name,started,item_id,category,name,x,y,z
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,ELGIG_Savage,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,ELGIG_vakk,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,ExG_SKUIJKE,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,ExG_TRYFFELI,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,ExG_miikaz,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,ExG_Rustanmar,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,RD_Bestoloch,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,RD_HalloSenpai,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,RD_P1NN,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,RD_S1D,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,NiP_Gaxy,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,NiP_vard,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,NiP_MiracU,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,NiP_Nbs,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,Uniq_Playwithme,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,Uniq_ADOUZ1E,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,Uniq_Standin,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,Uniq_MSTRBTR,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,TR_Iroh-,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,TR_mertgungor,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,TR_ABeautfIDeath,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_B_01_StartParachutePack_C,Equipment,TR_SIXMO,763252.0625,856886.375,150088.0
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Upper_DotSight_01_C,Attachment,Uniq_Playwithme,604872.1875,639240.4375,1102.52001953125
Miramar,2018-12-06T17:03:22.4730725Z,Item_Boost_PainKiller_C,Use,eU_Vegas,513783.1875,592066.1875,20025.08984375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Muzzle_Suppressor_Medium_C,Attachment,Uniq_Playwithme,604039.375,640106.4375,1102.52001953125
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Lower_LightweightForeGrip_C,Attachment,Uniq_Standin,620778.75,601043.4375,3554.119873046875
Miramar,2018-12-06T17:03:22.4730725Z,Item_Weapon_Grenade_C,Equipment,eU_Vegas,513336.90625,592368.8125,19997.08984375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Attach_Weapon_Magazine_Extended_SniperRifle_C,Attachment,eU_Vegas,513755.4375,592650.125,20025.08984375
Miramar,2018-12-06T17:03:22.4730725Z,Item_Back_E_02_Lv1_C,Equipment,Uniq_ADOUZ1E,619605.0625,623184.3125,-1119.449951171875
